U.S. Department of Commerce,,,,,,,,,This cell is intentionally blank.,,,,,,,,,This cell is intentionally blank.,,,,,,,,
U.S. Census Bureau,,,,,,,,,,,,,,,,,,,,,,,,,,
"Change in Resident Population of the 50 States, the District of Columbia, and Puerto Rico: 1910 to 2020",,,,,,,,,"Change in Resident Population of the 50 States, the District of Columbia, and Puerto Rico: 1910 to 2020 (continued)",,,,,,,,,"Change in Resident Population of the 50 States, the District of Columbia, and Puerto Rico: 1910 to 2020 (continued)",,,,,,,,
Area,2020 Census,,2010 Census,,2000 Census,,1990 Census,,Area,1980 Census,,1970 Census,,1960 Census,,1950 Census,,Area,1940 Census,,1930 Census,,1920 Census,,1910 Census,
,Resident Population 2020 Census,Percent Change 2020 Census,Resident Population 2010 Census,Percent Change 2010 Census,Resident Population 2000 Census,Percent Change 2000 Census,Resident Population 1990 Census,Percent Change 1990 Census,,Resident Population 1980 Census,Percent Change 1980 Census,Resident Population 1970 Census,Percent Change 1970 Census,Resident Population 1960 Census,Percent Change 1960 Census,Resident Population 1950 Census,Percent Change 1950 Census,,Resident Population 1940 Census,Percent Change 1940 Census,Resident Population 1930 Census,Percent Change 1930 Census,Resident Population 1920 Census,Percent Change 1920 Census,Resident Population 1910 Census,Percent Change 1910 Census
Alabama,"5,024,279",5.1,"4,779,736",7.5,"4,447,100",10.1,"4,040,587",3.8,Alabama,"3,893,888",13.1,"3,444,165",5.4,"3,266,740",6.7,"3,061,743",8.1,Alabama,"2,832,961",7.1,"2,646,248",12.7,"2,348,174",9.8,"2,138,093",16.9
Alaska,"733,391",3.3,"710,231",13.3,"626,932",14.0,"550,043",36.9,Alaska,"401,851",33.8,"300,382",32.8,"226,167",75.8,"128,643",77.4,Alaska,"72,524",22.3,"59,278",7.7,"55,036",-14.5,"64,356",1.2
Arizona,"7,151,502",11.9,"6,392,017",24.6,"5,130,632",40.0,"3,665,228",34.8,Arizona,"2,718,215",53.5,"1,770,900",36.0,"1,302,161",73.7,"749,587",50.1,Arizona,"499,261",14.6,"435,573",30.3,"334,162",63.5,"204,354",66.2
Arkansas,"3,011,524",3.3,"2,915,918",9.1,"2,673,400",13.7,"2,350,725",2.8,Arkansas,"2,286,435",18.9,"1,923,295",7.7,"1,786,272",-6.5,"1,909,511",-2.0,Arkansas,"1,949,387",5.1,"1,854,482",5.8,"1,752,204",11.3,"1,574,449",20.0
California,"39,538,223",6.1,"37,253,956",10.0,"33,871,648",13.8,"29,760,021",25.7,California,"23,667,902",18.6,"19,953,134",27.0,"15,717,204",48.5,"10,586,223",53.3,California,"6,907,387",21.7,"5,677,251",65.7,"3,426,861",44.1,"2,377,549",60.1
Colorado,"5,773,714",14.8,"5,029,196",16.9,"4,301,261",30.6,"3,294,394",14.0,Colorado,"2,889,964",30.9,"2,207,259",25.8,"1,753,947",32.4,"1,325,089",18.0,Colorado,"1,123,296",8.4,"1,035,791",10.2,"939,629",17.6,"799,024",48.0
Connecticut,"3,605,944",0.9,"3,574,097",4.9,"3,405,565",3.6,"3,287,116",5.8,Connecticut,"3,107,576",2.5,"3,031,709",19.6,"2,535,234",26.3,"2,007,280",17.4,Connecticut,"1,709,242",6.4,"1,606,903",16.4,"1,380,631",23.9,"1,114,756",22.7
Delaware,"989,948",10.2,"897,934",14.6,"783,600",17.6,"666,168",12.1,Delaware,"594,338",8.4,"548,104",22.8,"446,292",40.3,"318,085",19.4,Delaware,"266,505",11.8,"238,380",6.9,"223,003",10.2,"202,322",9.5
District of Columbia,"689,545",14.6,"601,723",5.2,"572,059",-5.7,"606,900",-4.9,District of Columbia,"638,333",-15.6,"756,510",-1.0,"763,956",-4.8,"802,178",21.0,District of Columbia,"663,091",36.2,"486,869",11.3,"437,571",32.2,"331,069",18.8
